employee_id,job_title,experience_level,education_level,employment_type,location,company_size,salary,primary_skill,department,performance_rating,age
1,DevOps Engineer,Senior,Master's,Full-time,Seattle,Medium,>=125000,C++,HR,2,43
2,Software Engineer,Mid,PhD,Full-time,Los Angeles,Large,>=75000,Machine Learning,Operations,1,32
3,Software Engineer,Entry,PhD,Full-time,New York,Medium,>=50000,Machine Learning,R&D,1,38
4,Software Engineer,Entry,PhD,Contract,Los Angeles,Medium,>=50000,Data Visualization,HR,3,23
5,Data Analyst,Senior,Master's,Contract,New York,Large,>=125000,Machine Learning,HR,3,32
6,Data Analyst,Mid,Master's,Part-time,Austin,Small,>=100000,Cloud,HR,3,54
7,Web Developer,Entry,Bachelor's,Contract,New York,Small,>=75000,Project Management,IT,3,58
8,AI Researcher,Entry,Diploma,Part-time,New York,Medium,>=50000,C++,IT,2,51
9,Data Engineer,Mid,Diploma,Contract,New York,Small,>=75000,Python,R&D,1,46
10,AI Researcher,Entry,Bachelor's,Part-time,Seattle,Small,>=50000,Java,Operations,5,42
11,System Admin,Mid,PhD,Contract,Boston,Small,>=75000,Machine Learning,HR,1,40
12,DevOps Engineer,Entry,Diploma,Contract,Remote,Large,>=50000,Machine Learning,Operations,1,54
13,Software Engineer,Senior,Diploma,Full-time,Remote,Small,>=125000,Data Visualization,Product,4,48
14,Data Scientist,Mid,Diploma,Contract,San Jose,Small,>=75000,Cloud,Operations,5,36
15,AI Researcher,Senior,Bachelor's,Full-time,San Francisco,Large,>=150000,Project Management,HR,3,45
16,Product Manager,Entry,Bachelor's,Part-time,Chicago,Medium,>=75000,Java,IT,5,42
17,Data Engineer,Senior,Master's,Part-time,New York,Medium,>=150000,Data Visualization,Product,3,42
18,ML Engineer,Mid,PhD,Contract,New York,Medium,>=100000,Python,Operations,1,53
19,Product Manager,Mid,Diploma,Full-time,San Jose,Large,>=125000,SQL,R&D,1,58
20,Data Analyst,Mid,PhD,Part-time,San Jose,Medium,>=75000,Java,R&D,3,57
21,Data Engineer,Senior,PhD,Full-time,Chicago,Large,>=125000,Deep Learning,Operations,4,38
22,Web Developer,Mid,Diploma,Part-time,Chicago,Medium,>=125000,Python,Analytics,3,46
23,Software Engineer,Senior,Bachelor's,Part-time,San Francisco,Large,>=150000,Project Management,HR,1,30
24,System Admin,Senior,Master's,Part-time,Los Angeles,Small,>=150000,C++,Analytics,4,52
25,AI Researcher,Entry,Bachelor's,Contract,Seattle,Small,>=75000,Project Management,Analytics,3,46
26,AI Researcher,Entry,Bachelor's,Contract,San Jose,Large,>=75000,Project Management,HR,4,41
27,AI Researcher,Senior,Master's,Part-time,Remote,Small,>=125000,Python,Operations,3,35
28,Software Engineer,Entry,PhD,Full-time,Boston,Small,>=50000,Project Management,Operations,3,59
29,System Admin,Entry,Diploma,Full-time,Austin,Large,>=50000,Java,Product,2,26
30,AI Researcher,Senior,Master's,Part-time,Chicago,Large,>=150000,Machine Learning,Analytics,2,25
31,Data Scientist,Entry,PhD,Contract,Austin,Medium,>=50000,SQL,Analytics,1,47
32,AI Researcher,Senior,PhD,Part-time,Remote,Small,>=125000,Python,IT,5,55
33,Data Scientist,Mid,Bachelor's,Part-time,San Jose,Medium,>=100000,DevOps,Product,5,53
34,Web Developer,Entry,Bachelor's,Full-time,Seattle,Large,>=50000,Python,IT,2,60
35,System Admin,Entry,Master's,Full-time,Seattle,Small,>=50000,Cloud,Analytics,2,42
36,Data Scientist,Senior,Bachelor's,Contract,Chicago,Small,>=150000,SQL,IT,3,51
37,Data Engineer,Mid,Diploma,Part-time,San Francisco,Medium,>=100000,Python,Analytics,2,23
38,Software Engineer,Entry,PhD,Contract,Chicago,Medium,>=50000,Project Management,R&D,2,30
39,DevOps Engineer,Senior,Master's,Contract,Seattle,Large,>=150000,Java,Analytics,3,23
40,AI Researcher,Mid,PhD,Part-time,Seattle,Large,>=75000,Project Management,Product,5,28
41,Data Engineer,Entry,Bachelor's,Contract,Boston,Medium,>=50000,Python,Analytics,5,34
42,AI Researcher,Senior,Master's,Full-time,San Francisco,Medium,>=175000,C++,HR,1,49
43,Data Analyst,Senior,Master's,Part-time,Remote,Large,>=150000,Python,IT,4,56
44,Data Engineer,Senior,Bachelor's,Contract,Chicago,Small,>=150000,Data Visualization,Analytics,4,53
45,Data Engineer,Senior,Diploma,Contract,San Francisco,Medium,>=125000,Deep Learning,HR,4,40
46,Data Analyst,Senior,Diploma,Full-time,Seattle,Large,>=150000,Project Management,Operations,2,49
47,Software Engineer,Entry,Bachelor's,Part-time,Remote,Small,>=50000,Python,Operations,1,56
48,System Admin,Mid,Master's,Part-time,New York,Medium,>=100000,Machine Learning,Operations,1,49
49,Data Scientist,Senior,Diploma,Part-time,Los Angeles,Large,>=125000,Java,R&D,4,34
50,Data Engineer,Senior,Diploma,Part-time,New York,Small,>=125000,Cloud,HR,2,44
51,Data Engineer,Entry,PhD,Contract,Boston,Large,>=50000,DevOps,Analytics,5,48
52,Web Developer,Entry,Master's,Contract,Chicago,Medium,>=50000,SQL,Analytics,3,60
53,Web Developer,Entry,Diploma,Contract,Los Angeles,Large,>=50000,Python,Operations,2,51
54,ML Engineer,Senior,Diploma,Part-time,San Jose,Medium,>=150000,Machine Learning,HR,5,60
55,DevOps Engineer,Senior,Master's,Full-time,New York,Small,>=125000,Python,Operations,2,39
56,Data Engineer,Mid,Diploma,Full-time,Austin,Medium,>=100000,Python,Operations,2,34
57,DevOps Engineer,Mid,Master's,Contract,Seattle,Small,>=100000,Java,IT,1,60
58,AI Researcher,Entry,Master's,Full-time,Austin,Small,>=50000,Java,Operations,3,37
59,Product Manager,Mid,Bachelor's,Contract,Chicago,Large,>=100000,Data Visualization,R&D,5,60
60,Software Engineer,Mid,Diploma,Contract,Seattle,Small,>=100000,SQL,Product,1,49
61,DevOps Engineer,Senior,Master's,Contract,Seattle,Medium,>=125000,SQL,Product,2,51
62,AI Researcher,Entry,Diploma,Contract,Los Angeles,Medium,>=50000,Java,IT,5,27
63,DevOps Engineer,Senior,Master's,Contract,Boston,Medium,>=125000,Cloud,Product,1,35
64,AI Researcher,Senior,Master's,Part-time,Seattle,Large,>=175000,Deep Learning,HR,2,34
65,ML Engineer,Mid,Bachelor's,Part-time,Boston,Medium,>=75000,SQL,R&D,4,31
66,AI Researcher,Mid,Diploma,Part-time,Boston,Large,>=75000,SQL,Analytics,1,29
67,Product Manager,Entry,PhD,Part-time,Remote,Large,>=50000,Java,HR,2,42
68,ML Engineer,Mid,PhD,Contract,New York,Small,>=75000,DevOps,R&D,3,35
69,DevOps Engineer,Mid,Master's,Contract,Austin,Medium,>=75000,Java,Operations,4,46
70,System Admin,Mid,PhD,Contract,Boston,Small,>=100000,SQL,IT,3,48
71,AI Researcher,Mid,Bachelor's,Part-time,Austin,Medium,>=75000,Data Visualization,HR,4,37
72,AI Researcher,Senior,Master's,Full-time,San Francisco,Large,>=150000,Python,HR,3,30
73,Data Scientist,Entry,Master's,Contract,New York,Large,>=75000,Deep Learning,HR,1,52
74,Web Developer,Mid,PhD,Full-time,Seattle,Large,>=100000,Machine Learning,IT,2,46
75,Web Developer,Entry,Master's,Full-time,New York,Large,>=75000,Machine Learning,Operations,3,37
76,Software Engineer,Entry,Master's,Full-time,Los Angeles,Large,>=50000,Java,Analytics,3,45
77,Product Manager,Entry,Master's,Part-time,San Francisco,Medium,>=75000,Python,Operations,4,33
78,AI Researcher,Entry,Master's,Full-time,Boston,Small,>=50000,Java,IT,1,25
79,Data Engineer,Senior,PhD,Contract,Austin,Large,>=175000,Python,IT,3,57
80,DevOps Engineer,Entry,Master's,Part-time,San Francisco,Medium,>=50000,Cloud,R&D,3,30
81,Data Analyst,Entry,Diploma,Part-time,New York,Large,>=50000,Machine Learning,Operations,5,24
82,Data Scientist,Senior,PhD,Part-time,Boston,Large,>=150000,Project Management,Operations,2,35
83,DevOps Engineer,Entry,Diploma,Contract,Remote,Medium,>=50000,SQL,Analytics,1,56
84,Data Engineer,Entry,Master's,Full-time,New York,Small,>=50000,Data Visualization,IT,5,26
85,Data Analyst,Senior,Bachelor's,Contract,New York,Small,>=175000,SQL,HR,3,37
86,Web Developer,Mid,Bachelor's,Contract,Los Angeles,Small,>=75000,Data Visualization,Product,4,53
87,ML Engineer,Senior,Master's,Contract,New York,Medium,>=125000,DevOps,Product,2,35
88,DevOps Engineer,Entry,Master's,Full-time,Remote,Medium,>=50000,SQL,HR,5,50
89,AI Researcher,Mid,Bachelor's,Contract,Chicago,Small,>=75000,Machine Learning,Analytics,2,60
90,ML Engineer,Senior,Master's,Part-time,Chicago,Small,>=125000,Cloud,R&D,1,59
91,ML Engineer,Senior,Diploma,Part-time,San Jose,Large,>=150000,Cloud,Operations,3,22
92,DevOps Engineer,Entry,Master's,Part-time,Los Angeles,Small,>=50000,Java,Analytics,5,58
93,Web Developer,Entry,PhD,Contract,Los Angeles,Large,>=50000,Python,R&D,5,43
94,DevOps Engineer,Senior,Diploma,Full-time,San Francisco,Medium,>=150000,DevOps,IT,2,34
95,Data Analyst,Mid,Master's,Contract,Boston,Large,>=100000,Java,HR,2,41
96,ML Engineer,Mid,Master's,Part-time,New York,Large,>=100000,Deep Learning,IT,5,47
97,DevOps Engineer,Mid,PhD,Part-time,Chicago,Large,>=100000,DevOps,HR,1,46
98,Product Manager,Mid,Master's,Contract,Seattle,Small,>=75000,Cloud,R&D,3,43
99,AI Researcher,Entry,Master's,Contract,Austin,Small,>=50000,DevOps,IT,1,51
100,Software Engineer,Mid,Diploma,Contract,Chicago,Medium,>=100000,Project Management,Product,1,25
101,Data Scientist,Entry,Diploma,Contract,Boston,Small,>=75000,DevOps,IT,4,35
102,Product Manager,Mid,Diploma,Contract,San Francisco,Medium,>=100000,Project Management,Operations,2,30
103,Data Engineer,Mid,Master's,Contract,San Jose,Medium,>=100000,DevOps,R&D,4,23
104,Data Analyst,Mid,Bachelor's,Full-time,Seattle,Large,>=75000,Project Management,IT,2,30
105,Data Engineer,Senior,Bachelor's,Part-time,San Jose,Small,>=150000,Machine Learning,Analytics,5,37
106,Web Developer,Senior,PhD,Contract,Austin,Medium,>=125000,Java,R&D,5,28
107,Software Engineer,Entry,PhD,Full-time,Austin,Large,>=50000,Python,Analytics,5,24
108,ML Engineer,Entry,Bachelor's,Contract,Austin,Medium,>=50000,C++,Analytics,1,53
109,AI Researcher,Entry,Bachelor's,Part-time,Seattle,Small,>=50000,Machine Learning,HR,5,35
110,AI Researcher,Mid,Diploma,Part-time,San Jose,Small,>=100000,DevOps,HR,1,44
111,AI Researcher,Senior,Master's,Contract,San Jose,Medium,>=150000,Cloud,R&D,4,53
112,Data Analyst,Entry,Master's,Full-time,San Francisco,Large,>=50000,Data Visualization,Operations,2,36
113,Software Engineer,Senior,PhD,Contract,San Francisco,Small,>=125000,Project Management,IT,3,35
114,Data Engineer,Mid,Diploma,Full-time,Los Angeles,Large,>=100000,C++,Analytics,3,51
115,Software Engineer,Senior,Master's,Contract,San Jose,Medium,>=125000,Java,IT,1,48
116,AI Researcher,Entry,Bachelor's,Part-time,Austin,Medium,>=50000,C++,Analytics,5,60
117,ML Engineer,Entry,PhD,Full-time,San Jose,Medium,>=50000,DevOps,Product,3,47
118,Product Manager,Entry,Diploma,Full-time,Chicago,Medium,>=50000,Java,IT,3,40
119,DevOps Engineer,Senior,Diploma,Full-time,San Francisco,Small,>=150000,Deep Learning,R&D,2,32
120,ML Engineer,Senior,Master's,Full-time,San Francisco,Small,>=150000,Deep Learning,Analytics,3,60
121,ML Engineer,Senior,Diploma,Contract,Chicago,Small,>=125000,SQL,Operations,3,34
122,Web Developer,Entry,Bachelor's,Contract,Seattle,Large,>=50000,Project Management,Operations,1,23
123,ML Engineer,Mid,Bachelor's,Contract,New York,Small,>=75000,Project Management,Product,4,38
124,Data Scientist,Senior,Master's,Full-time,Remote,Small,>=150000,C++,Operations,4,30
125,Data Analyst,Senior,Diploma,Full-time,Remote,Large,>=125000,C++,R&D,3,26
126,DevOps Engineer,Mid,Diploma,Contract,Boston,Small,>=75000,Cloud,HR,4,42
127,DevOps Engineer,Entry,Master's,Contract,Boston,Small,>=50000,Deep Learning,R&D,5,24
128,ML Engineer,Senior,Bachelor's,Contract,Seattle,Large,>=175000,Python,HR,1,48
129,Web Developer,Entry,Master's,Part-time,San Jose,Medium,>=50000,Cloud,Operations,1,43
130,Product Manager,Senior,Diploma,Full-time,Boston,Medium,>=125000,DevOps,Product,4,60
131,ML Engineer,Senior,Master's,Full-time,San Francisco,Medium,>=175000,Python,R&D,2,30
132,ML Engineer,Mid,Diploma,Contract,Chicago,Medium,>=75000,Java,Operations,2,31
133,AI Researcher,Mid,Master's,Full-time,Seattle,Small,>=100000,Data Visualization,Analytics,2,53
134,AI Researcher,Entry,Bachelor's,Contract,Chicago,Medium,>=50000,SQL,HR,1,41
135,System Admin,Entry,Bachelor's,Part-time,San Jose,Medium,>=50000,Project Management,IT,2,53
136,System Admin,Entry,Bachelor's,Part-time,New York,Large,>=50000,C++,Analytics,5,49
137,Data Analyst,Mid,PhD,Part-time,New York,Small,>=125000,Deep Learning,Operations,1,52
138,System Admin,Mid,Diploma,Contract,Los Angeles,Large,>=100000,Project Management,R&D,2,23
139,System Admin,Entry,Diploma,Contract,Remote,Large,>=75000,Machine Learning,Analytics,1,53
140,Software Engineer,Mid,Master's,Part-time,Los Angeles,Medium,>=100000,SQL,Analytics,1,34
141,Product Manager,Mid,PhD,Contract,San Jose,Large,>=100000,Cloud,Analytics,3,50
142,Product Manager,Entry,Bachelor's,Contract,San Jose,Small,>=50000,SQL,IT,4,22
143,ML Engineer,Entry,PhD,Contract,Boston,Medium,>=50000,Project Management,HR,4,40
144,Software Engineer,Entry,Bachelor's,Part-time,Los Angeles,Large,>=50000,DevOps,R&D,1,24
145,Product Manager,Mid,Diploma,Full-time,New York,Small,>=75000,Java,Product,3,41
146,Data Engineer,Mid,Bachelor's,Contract,Austin,Large,>=100000,DevOps,Operations,1,54
147,Web Developer,Entry,Diploma,Contract,San Francisco,Small,>=50000,Deep Learning,Analytics,1,25
148,ML Engineer,Entry,Master's,Contract,Boston,Medium,>=75000,DevOps,Operations,4,53
149,System Admin,Senior,Master's,Contract,Boston,Small,>=150000,Java,R&D,2,23
150,Product Manager,Entry,PhD,Full-time,New York,Large,>=50000,C++,HR,2,38
151,DevOps Engineer,Entry,PhD,Contract,Los Angeles,Large,>=50000,Machine Learning,Product,4,57
152,Web Developer,Mid,Diploma,Part-time,Los Angeles,Medium,>=75000,Machine Learning,IT,5,43
153,DevOps Engineer,Mid,PhD,Part-time,Seattle,Medium,>=100000,Deep Learning,R&D,3,25
154,Software Engineer,Senior,Diploma,Full-time,Austin,Medium,>=125000,Project Management,R&D,5,45
155,ML Engineer,Entry,Bachelor's,Full-time,Remote,Small,>=50000,SQL,IT,5,37
156,AI Researcher,Entry,Bachelor's,Part-time,Remote,Small,>=50000,Cloud,HR,2,29
157,Web Developer,Entry,PhD,Part-time,San Jose,Large,>=50000,Java,IT,3,24
158,Data Engineer,Mid,Master's,Part-time,San Jose,Large,>=75000,Machine Learning,Analytics,5,59
159,AI Researcher,Mid,Bachelor's,Part-time,Boston,Large,>=75000,Machine Learning,Product,4,54
160,Data Engineer,Senior,Bachelor's,Full-time,Remote,Small,>=125000,SQL,Analytics,3,46
161,Data Engineer,Entry,PhD,Contract,New York,Medium,>=50000,SQL,IT,2,27
162,System Admin,Senior,PhD,Part-time,San Francisco,Small,>=150000,SQL,Operations,1,46
163,AI Researcher,Mid,Master's,Part-time,Seattle,Small,>=100000,Python,Operations,5,39
164,Data Engineer,Mid,Bachelor's,Contract,Remote,Large,>=75000,Deep Learning,Operations,4,50
165,Data Analyst,Senior,Master's,Contract,Los Angeles,Large,>=125000,Deep Learning,Product,3,54
166,Product Manager,Senior,Diploma,Full-time,Chicago,Medium,>=125000,Project Management,HR,4,30
167,ML Engineer,Senior,Diploma,Contract,Boston,Large,>=125000,Deep Learning,IT,1,39
168,ML Engineer,Senior,Bachelor's,Contract,Boston,Large,>=150000,Java,Operations,3,54
169,Data Scientist,Mid,Bachelor's,Contract,Boston,Small,>=75000,Cloud,Analytics,1,37
170,Web Developer,Entry,PhD,Part-time,San Francisco,Medium,>=50000,Cloud,Analytics,1,53
171,Product Manager,Mid,Master's,Contract,Seattle,Small,>=75000,Java,R&D,4,34
172,ML Engineer,Mid,Master's,Full-time,Seattle,Small,>=100000,SQL,HR,5,24
173,DevOps Engineer,Mid,PhD,Full-time,San Jose,Small,>=75000,DevOps,Analytics,3,30
174,DevOps Engineer,Mid,Diploma,Contract,San Francisco,Medium,>=75000,DevOps,Product,2,53
175,AI Researcher,Mid,Master's,Contract,San Jose,Small,>=100000,DevOps,Analytics,1,49
176,Data Analyst,Mid,PhD,Part-time,Chicago,Small,>=125000,Data Visualization,R&D,4,39
177,System Admin,Mid,Diploma,Contract,Remote,Medium,>=125000,Cloud,R&D,5,34
178,Product Manager,Entry,Diploma,Full-time,Austin,Small,>=50000,C++,Analytics,2,55
179,ML Engineer,Entry,Diploma,Full-time,Boston,Medium,>=50000,Machine Learning,Analytics,5,24
180,Data Scientist,Mid,Master's,Contract,Austin,Small,>=100000,Deep Learning,HR,3,30
181,AI Researcher,Mid,PhD,Contract,Boston,Large,>=100000,DevOps,Analytics,3,24
182,Data Engineer,Mid,Bachelor's,Contract,Los Angeles,Medium,>=100000,SQL,IT,2,43
183,Software Engineer,Senior,PhD,Contract,Los Angeles,Small,>=125000,Cloud,Operations,5,36
184,Product Manager,Mid,PhD,Full-time,Boston,Medium,>=100000,Python,Analytics,3,23
185,System Admin,Entry,Diploma,Part-time,New York,Large,>=50000,Python,IT,2,24
186,Data Scientist,Entry,PhD,Part-time,Seattle,Medium,>=50000,Project Management,HR,3,29
187,System Admin,Senior,Master's,Full-time,Chicago,Large,>=175000,Java,R&D,1,41
188,DevOps Engineer,Senior,PhD,Full-time,Los Angeles,Small,>=125000,Cloud,Operations,4,25
189,ML Engineer,Mid,Bachelor's,Part-time,Remote,Large,>=100000,Deep Learning,Analytics,3,32
190,Web Developer,Senior,Master's,Contract,San Francisco,Large,>=150000,C++,Operations,5,60
191,Data Scientist,Senior,PhD,Part-time,San Jose,Small,>=150000,Deep Learning,Product,5,41
192,Web Developer,Senior,Diploma,Contract,Austin,Large,>=150000,Machine Learning,Product,3,45
193,System Admin,Senior,Master's,Full-time,New York,Small,>=150000,DevOps,Product,4,32
194,Software Engineer,Senior,Bachelor's,Full-time,Austin,Medium,>=125000,C++,Analytics,3,30
195,System Admin,Senior,Master's,Contract,Los Angeles,Small,>=125000,Deep Learning,Product,5,58
196,Data Scientist,Entry,Master's,Part-time,Chicago,Medium,>=50000,Project Management,Operations,4,48
197,Data Analyst,Entry,Master's,Part-time,San Jose,Large,>=75000,C++,HR,2,58
198,Software Engineer,Senior,PhD,Contract,New York,Medium,>=125000,C++,IT,1,59
199,Product Manager,Entry,Master's,Contract,Boston,Large,>=50000,Deep Learning,Operations,2,41
200,Product Manager,Senior,PhD,Part-time,Seattle,Medium,>=125000,DevOps,Product,2,60
201,Data Engineer,Senior,PhD,Contract,Austin,Small,>=150000,Deep Learning,R&D,2,49
202,Data Analyst,Entry,PhD,Contract,San Francisco,Large,>=50000,Python,Operations,3,47
203,Data Engineer,Senior,Master's,Contract,Chicago,Medium,>=150000,C++,HR,3,55
204,AI Researcher,Senior,Diploma,Contract,Austin,Large,>=125000,Deep Learning,R&D,4,58
205,Product Manager,Mid,PhD,Full-time,Los Angeles,Small,>=75000,Cloud,Product,2,59
206,AI Researcher,Entry,PhD,Part-time,Boston,Large,>=50000,SQL,R&D,4,53
207,ML Engineer,Senior,Bachelor's,Full-time,Seattle,Medium,>=150000,Data Visualization,Operations,4,36
208,Software Engineer,Entry,Diploma,Part-time,San Jose,Medium,>=50000,Python,Analytics,1,37
209,Data Engineer,Senior,Master's,Part-time,New York,Small,>=125000,Java,IT,4,57
210,Data Engineer,Mid,Master's,Contract,San Francisco,Medium,>=100000,SQL,Analytics,5,37
211,AI Researcher,Senior,Bachelor's,Part-time,Seattle,Small,>=150000,Deep Learning,Analytics,4,58
212,DevOps Engineer,Senior,PhD,Part-time,Remote,Large,>=125000,Cloud,IT,5,59
213,Data Analyst,Mid,Master's,Full-time,Chicago,Large,>=75000,Data Visualization,R&D,3,50
214,System Admin,Senior,Bachelor's,Part-time,Remote,Small,>=125000,Cloud,Analytics,5,42
215,Product Manager,Entry,PhD,Part-time,Boston,Small,>=50000,Project Management,R&D,3,35
216,Web Developer,Mid,Diploma,Contract,Seattle,Large,>=100000,Machine Learning,IT,1,23
217,Software Engineer,Entry,Diploma,Full-time,Los Angeles,Medium,>=50000,C++,Analytics,5,29
218,Data Scientist,Mid,Bachelor's,Part-time,Chicago,Medium,>=100000,DevOps,Product,5,59
219,Data Scientist,Entry,PhD,Contract,Chicago,Small,>=50000,Python,R&D,2,22
220,Data Engineer,Entry,PhD,Full-time,San Francisco,Large,>=75000,C++,Operations,1,50
221,Web Developer,Mid,Bachelor's,Contract,San Jose,Large,>=100000,DevOps,Product,3,55
222,AI Researcher,Mid,PhD,Contract,San Francisco,Small,>=125000,Java,Product,5,54
223,DevOps Engineer,Entry,Bachelor's,Full-time,Boston,Small,>=50000,Python,HR,2,55
224,System Admin,Senior,Diploma,Part-time,San Francisco,Medium,>=125000,Machine Learning,Operations,1,48
225,Web Developer,Entry,Bachelor's,Full-time,San Jose,Large,>=50000,C++,HR,5,51
226,Data Analyst,Entry,Master's,Contract,San Francisco,Large,>=50000,C++,R&D,5,24
227,AI Researcher,Mid,Bachelor's,Contract,Los Angeles,Small,>=75000,Cloud,HR,1,58
228,Data Scientist,Mid,Master's,Contract,Boston,Medium,>=100000,Cloud,HR,3,55
229,System Admin,Entry,PhD,Part-time,Austin,Large,>=50000,SQL,HR,1,22
230,Product Manager,Mid,PhD,Contract,Chicago,Small,>=75000,Data Visualization,R&D,1,56
231,Data Engineer,Entry,Master's,Part-time,San Francisco,Large,>=50000,SQL,Operations,4,34
232,Software Engineer,Entry,PhD,Contract,Boston,Large,>=50000,DevOps,R&D,3,35
233,ML Engineer,Senior,Master's,Part-time,Chicago,Small,>=125000,Cloud,HR,2,43
234,System Admin,Senior,Bachelor's,Contract,Los Angeles,Small,>=125000,Cloud,R&D,3,51
235,Software Engineer,Entry,Bachelor's,Full-time,Austin,Small,>=75000,DevOps,R&D,2,58
236,DevOps Engineer,Senior,Bachelor's,Contract,New York,Small,>=150000,DevOps,Product,5,42
237,ML Engineer,Mid,PhD,Part-time,Los Angeles,Small,>=100000,Data Visualization,R&D,4,22
238,Data Engineer,Mid,PhD,Part-time,Chicago,Large,>=100000,Data Visualization,IT,2,52
239,System Admin,Senior,Diploma,Full-time,Boston,Large,>=175000,Java,Operations,5,44
240,Data Scientist,Entry,Diploma,Contract,New York,Small,>=50000,Python,HR,5,30
241,Data Analyst,Entry,Master's,Part-time,Remote,Small,>=75000,Data Visualization,Operations,3,56
242,Data Analyst,Senior,PhD,Full-time,Remote,Medium,>=125000,Machine Learning,Operations,5,36
243,ML Engineer,Senior,Master's,Part-time,New York,Medium,>=150000,Machine Learning,IT,5,24
244,Data Scientist,Mid,PhD,Contract,Seattle,Small,>=100000,Deep Learning,HR,5,56
245,DevOps Engineer,Senior,Master's,Full-time,New York,Small,>=125000,DevOps,Operations,3,22
246,Web Developer,Entry,PhD,Full-time,Boston,Large,>=50000,Project Management,Analytics,5,49
247,Web Developer,Mid,Diploma,Contract,Remote,Medium,>=100000,Cloud,Operations,4,40
248,Software Engineer,Mid,Diploma,Full-time,Seattle,Large,>=100000,DevOps,IT,1,50
249,Data Engineer,Entry,Bachelor's,Full-time,Seattle,Small,>=50000,Cloud,Product,5,41
250,ML Engineer,Entry,Bachelor's,Full-time,Remote,Large,>=50000,Deep Learning,Product,2,25
251,ML Engineer,Senior,Diploma,Contract,New York,Medium,>=175000,C++,IT,3,52
