employee_id,job_title,experience_level,education_level,employment_type,location,company_size,salary,primary_skill,department,performance_rating,age
252,Data Engineer,Entry,PhD,Full-time,San Francisco,Small,>=50000,SQL,Product,2,49
253,Web Developer,Entry,Master's,Contract,Austin,Small,>=50000,Cloud,HR,4,25
254,Data Scientist,Entry,Diploma,Part-time,Boston,Small,>=50000,C++,Operations,1,42
255,Web Developer,Mid,Diploma,Contract,Austin,Medium,>=75000,Java,HR,2,42
256,ML Engineer,Senior,Bachelor's,Full-time,Remote,Medium,>=150000,Java,R&D,3,30
257,Data Analyst,Mid,Master's,Full-time,Seattle,Small,>=75000,Cloud,Analytics,4,44
258,Data Analyst,Entry,Master's,Contract,Seattle,Large,>=75000,Python,Analytics,2,38
259,ML Engineer,Mid,PhD,Part-time,Chicago,Medium,>=100000,Data Visualization,Product,3,42
260,ML Engineer,Senior,PhD,Contract,Boston,Small,>=150000,DevOps,HR,5,25
261,Data Engineer,Mid,Master's,Full-time,New York,Large,>=100000,Project Management,HR,4,41
262,Web Developer,Entry,Diploma,Part-time,San Francisco,Medium,>=50000,Java,IT,4,38
263,Data Analyst,Mid,Diploma,Contract,New York,Medium,>=125000,Machine Learning,Product,5,22
264,AI Researcher,Mid,Bachelor's,Part-time,San Francisco,Medium,>=75000,Project Management,Operations,5,35
265,DevOps Engineer,Mid,PhD,Full-time,Remote,Large,>=100000,SQL,Analytics,3,46
266,Software Engineer,Senior,Bachelor's,Part-time,Seattle,Medium,>=150000,Machine Learning,Operations,5,38
267,Data Engineer,Entry,Diploma,Full-time,Los Angeles,Large,>=50000,Data Visualization,HR,2,51
268,System Admin,Entry,Bachelor's,Full-time,Boston,Medium,>=50000,SQL,R&D,3,50
269,Software Engineer,Senior,Bachelor's,Part-time,San Francisco,Large,>=150000,Cloud,R&D,1,56
270,ML Engineer,Mid,PhD,Part-time,San Jose,Medium,>=75000,Cloud,IT,1,34
271,System Admin,Senior,PhD,Full-time,Boston,Small,>=125000,Project Management,IT,5,25
272,AI Researcher,Senior,Bachelor's,Full-time,Seattle,Small,>=125000,Machine Learning,Product,2,24
273,Data Scientist,Senior,PhD,Contract,New York,Medium,>=125000,Cloud,Analytics,5,42
274,Software Engineer,Mid,Master's,Full-time,San Francisco,Medium,>=75000,C++,HR,2,59
275,Software Engineer,Mid,PhD,Contract,Remote,Small,>=100000,Project Management,Operations,2,29
276,Data Engineer,Mid,PhD,Contract,Chicago,Small,>=100000,DevOps,Operations,4,36
277,AI Researcher,Entry,Bachelor's,Contract,Boston,Medium,>=50000,C++,IT,4,37
278,Web Developer,Entry,Master's,Part-time,San Francisco,Small,>=50000,C++,Product,1,44
279,System Admin,Entry,PhD,Contract,New York,Large,>=50000,Java,R&D,1,51
280,Product Manager,Mid,PhD,Contract,San Jose,Large,>=100000,Project Management,Product,4,53
281,Data Scientist,Senior,Master's,Part-time,Boston,Large,>=175000,Project Management,HR,2,39
282,Web Developer,Entry,Master's,Part-time,San Jose,Small,>=50000,Python,R&D,1,54
283,AI Researcher,Senior,Bachelor's,Full-time,Seattle,Large,>=150000,Cloud,Product,4,44
284,DevOps Engineer,Senior,Master's,Full-time,Boston,Small,>=125000,Cloud,Operations,4,50
285,Data Analyst,Senior,PhD,Part-time,Austin,Large,>=150000,Project Management,IT,1,37
286,Software Engineer,Mid,Bachelor's,Full-time,San Francisco,Large,>=75000,Data Visualization,Product,5,55
287,Software Engineer,Mid,Diploma,Contract,Chicago,Large,>=75000,DevOps,Operations,5,39
288,AI Researcher,Entry,Diploma,Part-time,New York,Medium,>=50000,Python,Product,3,30
289,Web Developer,Senior,Bachelor's,Contract,New York,Small,>=150000,Java,HR,2,25
290,Software Engineer,Entry,Master's,Full-time,Seattle,Small,>=75000,DevOps,IT,5,44
291,System Admin,Entry,Bachelor's,Full-time,Chicago,Small,>=50000,Machine Learning,R&D,3,40
292,Product Manager,Senior,PhD,Part-time,San Jose,Medium,>=125000,Cloud,HR,4,33
293,Data Scientist,Senior,Master's,Full-time,Chicago,Small,>=125000,C++,Product,1,46
294,Data Scientist,Entry,Diploma,Contract,San Francisco,Medium,>=50000,SQL,HR,2,30
295,ML Engineer,Senior,Bachelor's,Contract,New York,Large,>=125000,Cloud,Operations,1,42
296,Data Analyst,Entry,Bachelor's,Contract,New York,Medium,>=50000,Project Management,HR,2,52
297,Software Engineer,Entry,Bachelor's,Part-time,Austin,Small,>=50000,DevOps,IT,1,22
298,Software Engineer,Entry,Master's,Contract,Austin,Small,>=50000,C++,Product,2,24
299,System Admin,Mid,Diploma,Part-time,Los Angeles,Large,>=75000,Machine Learning,Product,1,58
300,Software Engineer,Entry,Bachelor's,Part-time,Seattle,Large,>=50000,Data Visualization,R&D,4,53
301,ML Engineer,Senior,Bachelor's,Contract,Seattle,Small,>=125000,Cloud,R&D,5,57
302,Data Engineer,Entry,Bachelor's,Part-time,Remote,Large,>=50000,SQL,Operations,2,51
303,ML Engineer,Senior,PhD,Part-time,Los Angeles,Small,>=125000,Project Management,Operations,5,34
304,Data Analyst,Entry,Diploma,Contract,Los Angeles,Medium,>=50000,Data Visualization,Analytics,5,49
305,DevOps Engineer,Senior,Master's,Part-time,Chicago,Small,>=125000,Machine Learning,R&D,2,35
306,Data Analyst,Entry,PhD,Part-time,Seattle,Small,>=50000,Deep Learning,Product,2,22
307,Data Scientist,Mid,Diploma,Full-time,Seattle,Large,>=125000,Project Management,Operations,1,48
308,System Admin,Senior,Master's,Full-time,Seattle,Small,>=150000,Cloud,Product,2,23
309,Web Developer,Senior,Diploma,Contract,Chicago,Medium,>=150000,Python,Operations,5,28
310,Data Scientist,Senior,PhD,Contract,Los Angeles,Small,>=175000,Project Management,IT,3,32
311,Data Scientist,Mid,Master's,Contract,New York,Small,>=100000,Cloud,HR,2,32
312,DevOps Engineer,Senior,Diploma,Part-time,San Francisco,Small,>=150000,SQL,HR,2,56
313,DevOps Engineer,Senior,PhD,Contract,New York,Small,>=125000,Deep Learning,Product,3,26
314,AI Researcher,Mid,Diploma,Contract,San Francisco,Medium,>=75000,C++,HR,5,28
315,Software Engineer,Senior,Diploma,Full-time,Chicago,Small,>=150000,Machine Learning,R&D,4,41
316,System Admin,Senior,Master's,Part-time,New York,Large,>=150000,DevOps,HR,4,37
317,Web Developer,Senior,PhD,Part-time,Chicago,Small,>=125000,C++,Product,5,60
318,Software Engineer,Entry,Diploma,Contract,Los Angeles,Small,>=50000,Java,Operations,4,24
319,Web Developer,Mid,Master's,Contract,New York,Large,>=75000,C++,Analytics,2,55
320,Data Scientist,Entry,Master's,Full-time,Los Angeles,Large,>=50000,SQL,Analytics,5,38
321,ML Engineer,Senior,PhD,Part-time,Seattle,Large,>=125000,DevOps,IT,2,32
322,System Admin,Entry,Master's,Full-time,Boston,Small,>=50000,DevOps,Product,5,30
323,System Admin,Entry,PhD,Full-time,Seattle,Small,>=50000,SQL,IT,2,29
324,Software Engineer,Entry,Bachelor's,Part-time,Boston,Small,>=50000,Java,Product,3,40
325,ML Engineer,Senior,PhD,Full-time,Remote,Medium,>=150000,SQL,Operations,5,54
326,Web Developer,Senior,Bachelor's,Contract,San Francisco,Small,>=125000,C++,Product,1,35
327,AI Researcher,Entry,Diploma,Contract,Boston,Small,>=50000,Python,R&D,5,42
328,Data Scientist,Entry,Bachelor's,Contract,Los Angeles,Medium,>=75000,Data Visualization,R&D,2,51
329,Product Manager,Senior,PhD,Contract,Seattle,Small,>=150000,Machine Learning,Product,4,30
330,Web Developer,Entry,Diploma,Full-time,Seattle,Small,>=50000,Project Management,IT,4,28
331,AI Researcher,Entry,Master's,Full-time,Seattle,Large,>=50000,Data Visualization,HR,1,30
332,Data Engineer,Senior,Bachelor's,Full-time,San Francisco,Small,>=150000,Data Visualization,Analytics,1,43
333,Data Analyst,Senior,Master's,Full-time,Remote,Small,>=175000,Data Visualization,IT,1,28
334,Product Manager,Mid,Master's,Part-time,Chicago,Medium,>=75000,C++,Operations,4,44
335,Software Engineer,Senior,PhD,Part-time,Austin,Small,>=125000,SQL,Analytics,4,53
336,ML Engineer,Senior,Master's,Part-time,Chicago,Large,>=125000,Data Visualization,R&D,5,55
337,Data Analyst,Entry,Bachelor's,Contract,Los Angeles,Medium,>=50000,C++,HR,1,51
338,Data Engineer,Entry,PhD,Contract,Chicago,Medium,>=50000,Project Management,IT,4,35
339,ML Engineer,Mid,Bachelor's,Full-time,Seattle,Small,>=75000,Project Management,IT,4,33
340,ML Engineer,Senior,PhD,Contract,Seattle,Medium,>=175000,Java,IT,3,40
341,Data Scientist,Entry,Master's,Contract,New York,Medium,>=50000,SQL,R&D,3,25
342,Data Analyst,Entry,Master's,Part-time,Chicago,Medium,>=50000,Java,Product,5,50
343,ML Engineer,Mid,Bachelor's,Full-time,Remote,Medium,>=75000,DevOps,HR,3,38
344,Software Engineer,Entry,Diploma,Contract,San Jose,Large,>=50000,SQL,R&D,4,53
345,Software Engineer,Entry,Master's,Full-time,New York,Large,>=50000,Deep Learning,R&D,1,57
346,AI Researcher,Entry,Bachelor's,Part-time,Remote,Large,>=50000,Project Management,Operations,5,32
347,Web Developer,Mid,Bachelor's,Contract,New York,Small,>=100000,Project Management,Operations,2,54
348,Data Engineer,Entry,PhD,Contract,San Francisco,Medium,>=50000,Python,Product,1,36
349,Product Manager,Entry,PhD,Contract,Remote,Medium,>=50000,Data Visualization,Product,3,38
350,DevOps Engineer,Mid,PhD,Full-time,Los Angeles,Small,>=75000,Machine Learning,Product,1,40
351,Product Manager,Mid,Bachelor's,Part-time,Remote,Medium,>=100000,Python,Product,5,46
352,Web Developer,Entry,Diploma,Full-time,Chicago,Large,>=50000,C++,IT,1,52
353,Software Engineer,Mid,Master's,Part-time,New York,Large,>=125000,DevOps,Product,3,35
354,Data Analyst,Senior,Bachelor's,Part-time,New York,Large,>=150000,C++,Operations,1,58
355,Product Manager,Mid,Master's,Part-time,Remote,Small,>=100000,Machine Learning,HR,1,48
356,Data Engineer,Entry,Master's,Part-time,New York,Large,>=50000,Java,Operations,1,52
357,ML Engineer,Mid,Master's,Contract,San Francisco,Small,>=75000,Data Visualization,Product,5,36
358,Software Engineer,Mid,Bachelor's,Part-time,San Jose,Medium,>=75000,Python,R&D,5,51
359,ML Engineer,Mid,Diploma,Contract,Remote,Small,>=75000,Deep Learning,HR,5,28
360,Web Developer,Mid,PhD,Contract,Austin,Large,>=75000,Python,HR,3,49
361,ML Engineer,Senior,Diploma,Part-time,Chicago,Large,>=150000,C++,Operations,2,60
362,Data Scientist,Mid,Master's,Full-time,New York,Medium,>=75000,Project Management,IT,2,35
363,Software Engineer,Mid,Master's,Part-time,San Francisco,Small,>=100000,DevOps,IT,1,25
364,Data Engineer,Senior,Diploma,Contract,Chicago,Medium,>=125000,Project Management,IT,4,53
365,System Admin,Entry,Master's,Part-time,Remote,Medium,>=50000,Deep Learning,Product,2,47
366,System Admin,Mid,Master's,Contract,Boston,Medium,>=75000,C++,R&D,3,23
367,AI Researcher,Mid,Bachelor's,Part-time,Los Angeles,Large,>=100000,Python,HR,2,49
368,Data Engineer,Entry,Bachelor's,Contract,New York,Small,>=50000,SQL,HR,3,46
369,Product Manager,Entry,Diploma,Full-time,San Jose,Medium,>=50000,Data Visualization,HR,5,50
370,Web Developer,Senior,Diploma,Full-time,New York,Large,>=150000,SQL,R&D,1,59
371,Web Developer,Mid,PhD,Part-time,New York,Medium,>=75000,Java,Product,1,37
372,Software Engineer,Senior,Diploma,Contract,San Francisco,Small,>=150000,C++,Operations,4,24
373,Data Scientist,Entry,Master's,Full-time,Seattle,Large,>=50000,Project Management,R&D,3,54
374,AI Researcher,Entry,PhD,Contract,Boston,Medium,>=50000,Cloud,IT,5,59
375,System Admin,Mid,Diploma,Full-time,Los Angeles,Medium,>=100000,Machine Learning,Operations,4,22
376,Data Engineer,Entry,Bachelor's,Contract,Boston,Small,>=50000,Cloud,Product,5,54
377,Data Analyst,Mid,Diploma,Part-time,Boston,Large,>=75000,Cloud,Operations,3,48
378,Data Analyst,Entry,Diploma,Contract,San Francisco,Medium,>=50000,Java,Product,3,53
379,AI Researcher,Entry,Master's,Full-time,Los Angeles,Large,>=50000,DevOps,Operations,5,48
380,System Admin,Entry,PhD,Contract,San Jose,Large,>=50000,C++,Analytics,2,51
381,Web Developer,Entry,Diploma,Full-time,New York,Small,>=75000,DevOps,IT,1,41
382,Data Engineer,Mid,Master's,Part-time,Remote,Medium,>=100000,C++,Product,1,33
383,Product Manager,Senior,Diploma,Part-time,New York,Small,>=125000,Cloud,R&D,4,44
384,Data Analyst,Mid,Master's,Contract,Chicago,Medium,>=75000,SQL,Operations,1,32
385,Web Developer,Entry,Diploma,Part-time,Boston,Medium,>=50000,Java,Product,4,54
386,Web Developer,Senior,Bachelor's,Contract,Boston,Small,>=125000,DevOps,HR,5,51
387,Data Engineer,Entry,Diploma,Part-time,Chicago,Large,>=50000,Machine Learning,Operations,2,55
388,Data Analyst,Mid,Master's,Full-time,New York,Large,>=75000,Deep Learning,IT,1,44
389,Software Engineer,Senior,Bachelor's,Part-time,Los Angeles,Large,>=150000,C++,Operations,4,28
390,AI Researcher,Entry,Bachelor's,Contract,Austin,Small,>=50000,Machine Learning,R&D,1,59
391,Data Analyst,Senior,PhD,Part-time,Chicago,Medium,>=125000,Python,R&D,3,58
392,Data Engineer,Mid,Master's,Part-time,Austin,Medium,>=125000,Python,Product,1,56
393,Data Engineer,Senior,Master's,Contract,Boston,Large,>=175000,Data Visualization,R&D,2,24
394,ML Engineer,Entry,Diploma,Full-time,Remote,Large,>=75000,Project Management,Analytics,1,36
395,Data Engineer,Entry,Bachelor's,Contract,New York,Medium,>=50000,C++,Analytics,2,29
396,System Admin,Entry,PhD,Part-time,San Jose,Large,>=50000,Cloud,R&D,3,34
397,System Admin,Mid,Bachelor's,Part-time,Los Angeles,Medium,>=125000,C++,R&D,3,42
398,Data Scientist,Senior,Bachelor's,Contract,New York,Small,>=150000,Python,R&D,3,46
399,Data Analyst,Entry,Bachelor's,Full-time,Remote,Small,>=50000,SQL,HR,4,51
400,Data Engineer,Senior,Diploma,Part-time,San Jose,Large,>=150000,Project Management,R&D,5,50
401,Software Engineer,Entry,PhD,Part-time,Austin,Large,>=75000,C++,Product,5,32
402,Data Scientist,Senior,Bachelor's,Part-time,Remote,Large,>=175000,Data Visualization,Product,5,25
403,ML Engineer,Senior,Master's,Contract,New York,Large,>=125000,Python,Operations,1,58
404,Software Engineer,Entry,Bachelor's,Contract,Remote,Small,>=50000,C++,Analytics,2,54
405,Data Analyst,Senior,Master's,Contract,Chicago,Large,>=150000,Data Visualization,R&D,4,34
406,Web Developer,Entry,Bachelor's,Part-time,Austin,Medium,>=50000,Deep Learning,Operations,5,53
407,ML Engineer,Mid,Bachelor's,Contract,San Jose,Large,>=100000,Machine Learning,HR,1,39
408,System Admin,Senior,Bachelor's,Full-time,Boston,Large,>=125000,C++,IT,4,34
409,Software Engineer,Senior,Diploma,Part-time,San Jose,Large,>=150000,Python,HR,2,46
410,Product Manager,Mid,Master's,Full-time,Los Angeles,Large,>=75000,Cloud,Analytics,3,43
411,System Admin,Senior,Diploma,Part-time,New York,Large,>=125000,Deep Learning,IT,5,23
412,System Admin,Senior,PhD,Part-time,Los Angeles,Medium,>=125000,Python,HR,2,56
413,ML Engineer,Senior,Diploma,Full-time,Los Angeles,Large,>=150000,C++,HR,1,36
414,AI Researcher,Mid,Diploma,Contract,San Jose,Large,>=75000,Data Visualization,R&D,4,36
415,DevOps Engineer,Entry,Bachelor's,Part-time,New York,Medium,>=75000,DevOps,HR,5,23
416,Software Engineer,Entry,Bachelor's,Contract,Remote,Medium,>=50000,Cloud,Operations,5,34
417,Data Engineer,Mid,Diploma,Part-time,New York,Large,>=125000,Java,Operations,2,44
418,System Admin,Mid,Diploma,Full-time,Remote,Large,>=100000,Cloud,R&D,3,34
419,DevOps Engineer,Senior,Bachelor's,Contract,Austin,Small,>=150000,DevOps,Operations,1,33
420,ML Engineer,Mid,Bachelor's,Full-time,Boston,Small,>=75000,Data Visualization,Product,3,58
421,System Admin,Mid,PhD,Contract,Seattle,Small,>=75000,SQL,IT,4,43
422,Product Manager,Senior,Master's,Contract,Remote,Medium,>=150000,Cloud,IT,2,24
423,Web Developer,Senior,Master's,Full-time,Seattle,Large,>=150000,Cloud,Operations,4,24
424,Data Engineer,Entry,Diploma,Full-time,Remote,Medium,>=50000,Deep Learning,Product,3,56
425,Web Developer,Mid,Diploma,Contract,Boston,Large,>=100000,SQL,IT,4,57
426,System Admin,Mid,Bachelor's,Contract,New York,Small,>=100000,Data Visualization,HR,3,58
427,Web Developer,Senior,Bachelor's,Contract,Los Angeles,Large,>=125000,Cloud,HR,1,32
428,Product Manager,Senior,PhD,Full-time,Los Angeles,Small,>=150000,DevOps,R&D,1,22
429,Web Developer,Senior,Diploma,Contract,New York,Small,>=125000,Deep Learning,HR,4,44
430,DevOps Engineer,Senior,PhD,Part-time,Remote,Small,>=150000,Deep Learning,Operations,4,41
431,AI Researcher,Senior,Master's,Part-time,Los Angeles,Medium,>=175000,DevOps,Product,1,31
432,Data Scientist,Mid,Master's,Part-time,Los Angeles,Medium,>=100000,Cloud,IT,5,32
433,Data Analyst,Mid,PhD,Full-time,San Jose,Large,>=100000,Machine Learning,Product,1,29
434,Web Developer,Senior,Diploma,Full-time,Seattle,Medium,>=150000,Project Management,Operations,5,28
435,Data Scientist,Mid,PhD,Part-time,Los Angeles,Large,>=75000,Deep Learning,HR,3,44
436,DevOps Engineer,Mid,PhD,Full-time,Los Angeles,Medium,>=75000,Project Management,Operations,3,27
437,System Admin,Mid,Bachelor's,Full-time,Los Angeles,Medium,>=75000,Machine Learning,R&D,5,22
438,Data Scientist,Senior,Bachelor's,Part-time,New York,Medium,>=125000,Java,Analytics,4,34
439,Data Scientist,Mid,Diploma,Part-time,San Jose,Medium,>=100000,Deep Learning,IT,5,53
440,Web Developer,Entry,Bachelor's,Part-time,San Jose,Medium,>=50000,Project Management,HR,4,34
441,Web Developer,Mid,Master's,Contract,Boston,Large,>=100000,Cloud,HR,3,36
442,Data Engineer,Mid,PhD,Full-time,New York,Large,>=100000,SQL,Product,5,50
443,Web Developer,Entry,PhD,Contract,New York,Large,>=50000,C++,Analytics,5,57
444,Product Manager,Mid,Master's,Full-time,Chicago,Small,>=100000,DevOps,IT,5,50
445,AI Researcher,Senior,PhD,Part-time,San Francisco,Large,>=125000,Machine Learning,HR,4,32
446,Data Scientist,Entry,Bachelor's,Full-time,Los Angeles,Medium,>=50000,Java,Analytics,1,36
447,AI Researcher,Senior,Master's,Part-time,Remote,Medium,>=150000,Machine Learning,Operations,5,56
448,Software Engineer,Senior,PhD,Full-time,Seattle,Large,>=125000,C++,HR,4,50
449,Product Manager,Entry,Diploma,Contract,San Francisco,Small,>=50000,Project Management,HR,3,42
450,Data Scientist,Senior,Diploma,Contract,Austin,Small,>=150000,Cloud,R&D,1,56
451,Product Manager,Entry,PhD,Full-time,Austin,Large,>=50000,Deep Learning,HR,4,57
452,Product Manager,Mid,Diploma,Full-time,Austin,Small,>=75000,Python,HR,2,29
453,Web Developer,Mid,Bachelor's,Contract,Chicago,Small,>=100000,Data Visualization,Analytics,4,60
454,Software Engineer,Entry,Bachelor's,Full-time,Remote,Large,>=50000,DevOps,Operations,5,23
455,Data Scientist,Mid,Bachelor's,Contract,San Francisco,Large,>=100000,Java,Analytics,3,51
456,Web Developer,Mid,PhD,Contract,Remote,Large,>=100000,C++,R&D,1,58
457,AI Researcher,Entry,Bachelor's,Part-time,San Jose,Medium,>=50000,Machine Learning,Operations,3,34
458,Software Engineer,Senior,PhD,Full-time,Remote,Medium,>=125000,Cloud,IT,5,56
459,Data Engineer,Mid,Master's,Part-time,Boston,Large,>=125000,Deep Learning,Operations,3,44
460,Data Engineer,Senior,Master's,Part-time,New York,Large,>=150000,Machine Learning,HR,2,28
461,Data Engineer,Mid,Diploma,Contract,Boston,Medium,>=75000,Java,Analytics,5,27
462,Data Scientist,Entry,Diploma,Full-time,Chicago,Large,>=50000,Machine Learning,Operations,1,49
463,AI Researcher,Senior,Master's,Contract,New York,Medium,>=150000,SQL,IT,5,32
464,System Admin,Entry,Diploma,Full-time,Los Angeles,Medium,>=50000,Cloud,HR,2,33
465,Product Manager,Entry,Master's,Full-time,Boston,Small,>=50000,C++,Operations,5,22
466,System Admin,Entry,PhD,Full-time,San Francisco,Small,>=50000,Java,R&D,1,37
467,Product Manager,Senior,Diploma,Contract,Austin,Large,>=150000,Data Visualization,R&D,3,34
468,Product Manager,Mid,Diploma,Part-time,Chicago,Large,>=100000,Machine Learning,HR,5,38
469,AI Researcher,Entry,Master's,Full-time,New York,Medium,>=50000,Machine Learning,R&D,2,43
470,Data Analyst,Mid,Diploma,Contract,Seattle,Large,>=100000,Cloud,Operations,3,34
471,AI Researcher,Entry,Master's,Full-time,Austin,Large,>=50000,Machine Learning,Analytics,4,30
472,Product Manager,Entry,Diploma,Contract,Remote,Small,>=50000,Deep Learning,Operations,1,50
473,AI Researcher,Mid,Master's,Full-time,Remote,Large,>=125000,Java,HR,2,39
474,System Admin,Mid,Diploma,Part-time,San Francisco,Small,>=125000,Java,R&D,3,26
475,DevOps Engineer,Entry,Bachelor's,Full-time,Chicago,Medium,>=50000,Cloud,Operations,5,58
476,Data Engineer,Entry,Diploma,Full-time,Chicago,Small,>=75000,Data Visualization,Analytics,3,41
477,Product Manager,Entry,Diploma,Full-time,Los Angeles,Medium,>=50000,DevOps,IT,4,57
478,ML Engineer,Senior,Diploma,Full-time,Seattle,Medium,>=125000,C++,R&D,4,44
479,Product Manager,Entry,Bachelor's,Part-time,San Francisco,Medium,>=50000,C++,Operations,2,33
480,AI Researcher,Senior,Bachelor's,Contract,San Jose,Small,>=125000,Cloud,R&D,3,22
481,Product Manager,Mid,Master's,Part-time,Remote,Large,>=75000,Cloud,IT,5,47
482,System Admin,Mid,Diploma,Full-time,Seattle,Medium,>=100000,Deep Learning,HR,2,59
483,Data Analyst,Entry,Master's,Part-time,Los Angeles,Large,>=50000,Machine Learning,IT,2,49
484,Software Engineer,Senior,Master's,Contract,San Francisco,Small,>=150000,Cloud,Product,1,41
485,Data Scientist,Entry,PhD,Contract,New York,Medium,>=75000,DevOps,Operations,3,42
486,Data Engineer,Entry,Master's,Contract,Los Angeles,Small,>=50000,Data Visualization,IT,2,57
487,ML Engineer,Senior,Bachelor's,Part-time,Seattle,Small,>=125000,SQL,R&D,4,45
488,DevOps Engineer,Mid,Master's,Full-time,New York,Small,>=125000,Python,HR,1,43
489,AI Researcher,Entry,Bachelor's,Full-time,Los Angeles,Medium,>=50000,DevOps,Operations,3,39
490,DevOps Engineer,Mid,Bachelor's,Part-time,Austin,Medium,>=100000,Data Visualization,R&D,3,31
491,ML Engineer,Mid,Master's,Part-time,Seattle,Medium,>=75000,Java,HR,3,59
492,AI Researcher,Senior,PhD,Contract,Seattle,Small,>=125000,DevOps,Operations,4,46
493,Software Engineer,Entry,Master's,Part-time,San Jose,Small,>=75000,Python,Analytics,4,32
494,Software Engineer,Mid,Bachelor's,Full-time,Boston,Large,>=75000,Machine Learning,Product,5,48
495,DevOps Engineer,Senior,PhD,Contract,Chicago,Large,>=125000,C++,Analytics,4,55
496,System Admin,Senior,PhD,Part-time,Seattle,Large,>=150000,DevOps,IT,4,41
497,ML Engineer,Senior,Diploma,Part-time,New York,Medium,>=125000,SQL,R&D,5,29
498,ML Engineer,Entry,Master's,Contract,Austin,Medium,>=50000,Machine Learning,HR,3,46
499,Data Scientist,Entry,Bachelor's,Contract,Seattle,Large,>=50000,Cloud,Product,2,40
500,Data Scientist,Entry,PhD,Contract,Boston,Large,>=75000,Deep Learning,R&D,3,31
501,AI Researcher,Entry,Bachelor's,Full-time,San Francisco,Medium,>=50000,SQL,R&D,2,50
502,Data Scientist,Senior,Master's,Contract,Remote,Large,>=150000,Cloud,Product,2,57
